col1,col2,col3,col4,col5,col6
FOOD11,,,,,
AERI3F,,,,,
AERI3,,,,,
ICBR3,,,,,
DOTZ3F,,,,,
DOTZ3,,,,,
GOLL3,,,,,
VIIA3F,,,,,
ARML3,,,,,
MLAS3,,,,,
CBAV3,,,,,
TTEN3,,,,,
BRBI11,,,,,
NINJ3,,,,,
ATEA3,,,,,
MODL4,,,,,
MODL11,,,,,
MODL3,,,,,
VITT3,,,,,
KRSA3,,,,,
CXSE3,,,,,
RIOS3,,,,,
HCAR3,,,,,
GGPS3,,,,,
MATD3,,,,,
ALLD3,,,,,
BLAU3,,,,,
ATMP3,,,,,
ASAI3,,,,,
JSLG3,,,,,
CMIN3,,,,,
ELMD3,,,,,
ORVR3,,,,,
OPCT3,,,,,
WEST3,,,,,
CSED3,,,,,
BMOB3,,,,,
JALL3,,,,,
MBLY3,,,,,
ESPA3,,,,,
VAMO3,,,,,
INTB3,,,,,
CJCT11,,,,,
BMLC11,,,,,
RECR11,,,,,
URPR11,,,,,
DEVA11,,,,,
MFAI11,,,,,
NGRD3,,,,,
AVLL3,,,,,
RRRP3,,,,,
ENJU3,,,,,
CASH3,,,,,
TFCO4,,,,,
CONX3,,,,,
GMAT3,,,,,
SEQL3,,,,,
PASS3,,,,,
BOAS3,,,,,
MELK3,,,,,
HBSA3,,,,,
SIMH3F,,,,,
CURY3,,,,,
PLPL3,,,,,
PETZ3,,,,,
PGMN3,,,,,
LAVV3,,,,,
LJQQ3,,,,,
DMVF3,,,,,
SOMA3,,,,,
RIVA3,,,,,
AMBP3,,,,,
ALPK3,,,,,
MTRE3,,,,,
MDNE3,,,,,
BDLL4F,,,,,
BDLL3F,,,,,
UPSS34F,,,,,
LMTB34F,,,,,
JNJB34F,,,,,
FDXB34F,,,,,
EXXO34F,,,,,
CATP34F,,,,,
BMYB34F,,,,,
ARMT34F,,,,,
AXPB34F,,,,,
ABTT34F,,,,,
STBP3F,,,,,
RAPT3F,,,,,
EGIE3F,,,,,
MMXM11F,MMXM3F,,,,
LUPA3F,,,,,
INEP4F,INEP3F,,,,
GEPA4F,GEPA3F,,,,
FRAS3F,,,,,
AFLT3F,,,,,
VIIA3,,,,,
CEDO4F,CEDO3F,CEDO4,CEDO3,,
NFLX34F,NFLX34,,,,
NIKE34F,NIKE34,,,,
MCDC34F,MCDC34,,,,
HOME34F,HOME34,,,,
FDMO34F,FDMO34,,,,
CMCS34F,CMCS34,,,,
AMZO34F,,,,,
RDNI3F,RDNI3,,,,
SLED4F,SLED3F,SLED3,,,
RSID3F,RSID3,,,,
MNDL3F,MNDL3,,,,
LEVE3F,LEVE3,,,,
CTKA4F,CTKA3F,CTKA4,CTKA3,,
MYPK3F,MYPK3,,,,
GRND3F,GRND3,,,,
LCAM3F,LCAM3,,,,
CEAB3,,,,,
LLIS3F,LLIS3,,,,
CGRA3F,CGRA4F,CGRA4,CGRA3,,
ESTR4F,ESTR3F,ESTR4,ESTR3,,
DIRR3F,DIRR3,,,,
CTNM3F,CTNM4F,CTNM4,CTNM3,,
ANIM3F,,,,,
EVEN3F,EVEN3,,,,
AMAR3F,AMAR3,,,,
MOVI3F,MOVI3,,,,
JHSF3F,JHSF3,,,,
HBOR3F,HBOR3,,,,
PDGR3F,PDGR3,,,,
ARZZ3F,,,,,
EZTC3F,EZTC3,,,,
ALPA3F,ALPA4F,,,,
RENT3F,RENT3,,,,
MRVE3F,MRVE3,,,,
MGLU3F,MGLU3,,,,
LREN3F,LREN3,,,,
COGN3F,COGN3,,,,
WHRL4,,,,,
WHRL3,,,,,
