,codigo
0,FOOD11
1,AERI3F
2,AERI3
3,ICBR3
4,DOTZ3F
5,DOTZ3
6,GOLL3
7,VIIA3F
8,ARML3
9,MLAS3
10,CBAV3
11,TTEN3
12,BRBI11
13,NINJ3
14,ATEA3
15,MODL4
16,MODL11
17,MODL3
18,VITT3
19,KRSA3
20,CXSE3
21,RIOS3
22,HCAR3
23,GGPS3
24,MATD3
25,ALLD3
26,BLAU3
27,ATMP3
28,ASAI3
29,JSLG3
30,CMIN3
31,ELMD3
32,ORVR3
33,OPCT3
34,WEST3
35,CSED3
36,BMOB3
37,JALL3
38,MBLY3
39,ESPA3
40,VAMO3
41,INTB3
42,CJCT11
43,BMLC11
44,RECR11
45,URPR11
46,DEVA11
47,MFAI11
48,NGRD3
49,AVLL3
50,RRRP3
51,ENJU3
52,CASH3
53,TFCO4
54,CONX3
55,GMAT3
56,SEQL3
57,PASS3
58,BOAS3
59,MELK3
60,HBSA3
61,SIMH3F
62,CURY3
63,PLPL3
64,PETZ3
65,PGMN3
66,LAVV3
67,LJQQ3
68,DMVF3
69,SOMA3
70,RIVA3
71,AMBP3
72,ALPK3
73,MTRE3
74,MDNE3
75,BDLL4F
76,BDLL3F
77,UPSS34F
78,LMTB34F
79,JNJB34F
80,FDXB34F
81,EXXO34F
82,CATP34F
83,BMYB34F
84,ARMT34F
85,AXPB34F
86,ABTT34F
87,STBP3F
88,RAPT3F
89,EGIE3F
90,MMXM11F
91,MMXM3F
92,LUPA3F
93,INEP4F
94,INEP3F
95,GEPA4F
96,GEPA3F
97,FRAS3F
98,AFLT3F
99,VIIA3
100,CEDO4F
101,CEDO3F
102,CEDO4
103,CEDO3
104,NFLX34F
105,NFLX34
106,NIKE34F
107,NIKE34
108,MCDC34F
109,MCDC34
110,HOME34F
111,HOME34
112,FDMO34F
113,FDMO34
114,CMCS34F
115,CMCS34
116,AMZO34F
117,RDNI3F
118,RDNI3
119,SLED4F
120,SLED3F
121,SLED3
122,RSID3F
123,RSID3
124,MNDL3F
125,MNDL3
126,LEVE3F
127,LEVE3
128,CTKA4F
129,CTKA3F
130,CTKA4
131,CTKA3
132,MYPK3F
133,MYPK3
134,GRND3F
135,GRND3
136,LCAM3F
137,LCAM3
138,CEAB3
139,LLIS3F
140,LLIS3
141,CGRA3F
142,CGRA4F
143,CGRA4
144,CGRA3
145,ESTR4F
146,ESTR3F
147,ESTR4
148,ESTR3
149,DIRR3F
150,DIRR3
151,CTNM3F
152,CTNM4F
153,CTNM4
154,CTNM3
155,ANIM3F
156,EVEN3F
157,EVEN3
158,AMAR3F
159,AMAR3
160,MOVI3F
161,MOVI3
162,JHSF3F
163,JHSF3
164,HBOR3F
165,HBOR3
166,PDGR3F
167,PDGR3
168,ARZZ3F
169,EZTC3F
170,EZTC3
171,ALPA3F
172,ALPA4F
173,RENT3F
174,RENT3
175,MRVE3F
176,MRVE3
177,MGLU3F
178,MGLU3
179,LREN3F
180,LREN3
181,COGN3F
182,COGN3
183,WHRL4
184,WHRL3
185,TCSA3
186,SBUB34
187,SMLS3
188,SEER3
189,SLED4
190,HOOT4
191,GFSA3
192,GFSA3F
193,YDUQ3
194,CYRE3
195,CVCB3
196,SBFG3F
197,SBFG3
198,CAMB3F
199,PRVA3
200,WALM34F
201,WALM34
202,SBUB34F
203,PGCO34F
204,PEPB34F
205,PEPB34
206,COLG34F
207,COLG34
208,COCA34F
209,COCA34
210,AVON34F
211,AVON34
212,SMTO3F
213,SMTO3
214,MDIA3F
215,MDIA3
216,CAML3F
217,CAML3
218,AGRO3F
219,AGRO3
220,BEEF3F
221,BEEF3
222,BEEF11
223,VIVA3
224,CRFB3F
225,CRFB3
226,PCAR3F
227,PCAR4F
228,PCAR4
229,PCAR3
230,NTCO3F
231,NTCO3
232,MRFG3F
233,MRFG3
234,JBSS3F
235,JBSS3
236,PGCO34
237,BRFS3
238,INBR31
239,BIDI3
240,BIDI11
241,BIDI4
242,STOC31
243,NUBR33
244,IGTI11
245,IGTI3
246,XPBR31
247,TRAD3
248,BSLI4F
249,BSLI3F
250,BSLI4
251,BSLI3
252,BTTL3F
253,BTTL3
254,BPAR3F
255,BPAR3
256,WFCO34F
257,WFCO34
258,VISA34F
259,VISA34
260,MSBR34F
261,MSBR34
262,MSCD34F
263,MSCD34
264,JPMC34F
265,JPMC34
266,HONB34F
267,HONB34
268,GEOO34F
269,GEOO34
270,GSGI34F
271,GSGI34
272,CTGP34F
273,CTGP34
274,BOAC34F
275,BOAC34
276,MMMC34F
277,MMMC34
278,SCAR3F
279,SCAR3
280,LPSB3F
281,LPSB3
282,BMGB11
283,BMGB4
284,IGBR3F
285,IGBR3
286,GSHP3F
287,GSHP3
288,PSSA3F
289,PSSA3
290,CARD3F
291,CARD3
292,BBRK3F
293,BBRK3
294,BRPR3F
295,BRPR3
296,BRSR6F
297,BRSR5F
298,BRSR3F
299,BRSR6
300,BRSR5
301,BRSR3
302,SANB4F
303,SANB3F
304,SANB11F
305,SANB4
306,SANB3
307,SANB11
308,MULT3F
309,MULT3
310,ITUB3F
311,ITUB4
312,ITUB3
313,ITUB4F
314,ALSO3
315,BMIN3
316,MERC4
317,LOGG3
318,ITSA4F
319,ITSA4
320,ITSA3F
321,IRBR3
322,PDTC3
323,SYNE3
324,BBDC4F
325,BBDC4
326,BBDC3
327,BRML3
328,APER3F
329,APER3
330,BBSE3
331,BPAN4
332,BBAS3F
333,BBAS3
334,BBAS12
335,BBAS11
336,AXPB34
337,LAND3
338,DEXP4
339,DEXP3
340,RANI3F
341,FCXO34F
342,FCXO34
343,PMAM3F
344,PMAM3
345,FESA4F
346,FESA3F
347,FESA4
348,FESA3
349,EUCA3F
350,EUCA4
351,EUCA3
352,SUZB3F
353,SUZB3
354,KLBN4F
355,KLBN3F
356,KLBN11F
357,KLBN4
358,KLBN3
359,KLBN11
360,VALE5
361,UNIP6F
362,UNIP6
363,UNIP5F
364,UNIP5
365,UNIP3
366,NEMO6
367,NEMO5
368,NEMO3
369,MMXM3
370,MMXM11
371,GOAU4
372,DXCO3
373,CSNA3F
374,CSNA3
375,BRKM6
376,BRKM5F
377,BRKM5
378,BRKM3
379,BRAP4F
380,BRAP4
381,BRAP3F
382,BRAP3
383,ARMT34
