,nome,cod_bolsa
0,Investo ETF Global Agribusiness,FOOD
1,Aeris,AERI
2,Intercement,ICBR
3,Dotz,DOTZ
4,Gol,GOLL
5,VIA S.A,VIIA
6,Armac,ARML
7,Multilaser,MLAS
8,CBA,CBAV
9,3tentos,TTEN
10,BR Partners,BRBI
11,GetNinjas,NINJ
12,Athena Saúde,ATEA
13,Banco Modal,MODL
14,Vittia Fertilizantes,VITT
15,Kora Saúde,KRSA
16,Caixa Seguridade,CXSE
17,Rio Alto Energias Renováveis,RIOS
18,Hospital Care Caledonia,HCAR
19,Grupos GPS,GGPS
20,Mater Dei,MATD
21,Allied Tecnologia,ALLD
22,Blau Farmacêutica,BLAU
23,Atma Participações,ATMP
24,Assaí,ASAI
25,Grupo JSL,JSLG
26,CSN Mineração,CMIN
27,Eletromídia,ELMD
28,Orizon,ORVR
29,OceanPact,OPCT
30,Westwing,WEST
31,Cruzeiro Do Sul Educacional,CSED
32,Bemobi,BMOB
33,Jalles Machado,JALL
34,Mobly,MBLY
35,Espaçolaser,ESPA
36,Vamos,VAMO
37,Intelbras SA,INTB
38,Hedge Investiments,CJCT
39,BM Brascam Lajes Corporativas,BMLC
40,Real Estate Capital,RECR
41,FII URCA RENCI,URPR
42,Devant Recebíveis Imobiliários,DEVA
43,Mérito Investimentos,MFAI
44,Neogrid,NGRD
45,Alphaville S.A.,AVLL
46,3R Petroleum,RRRP
47,Enjoei,ENJU
48,Méliuz,CASH
49,Track & Field,TFCO
50,Triple Play,CONX
51,Grupo Mateus,GMAT
52,Sequoia,SEQL
53,Compass,PASS
54,Boa Vista SCPC,BOAS
55,Melnick,MELK
56,Hidrovias do Brasil,HBSA
57,Simpar,SIMH
58,Cury,CURY
59,Plano & Plano,PLPL
60,Petz,PETZ
61,Pague Menos,PGMN
62,Lavvi Incorporadora,LAVV
63,Quero-Quero,LJQQ
64,d1000,DMVF
65,Grupo Soma,SOMA
66,Riva 9,RIVA
67,Ambipar,AMBP
68,Allpark,ALPK
69,Mitre Realty,MTRE
70,Moura Dubeux,MDNE
71,Bardella,BDLL
72,UPS,UPSS
73,Lockheed,LMTB
74,Johnson,JNJB
75,Fedex Corp,FDXB
76,Exxon Mobile,EXXO
77,Caterpillar,CATP
78,Bristolmyers,BMYB
79,Arcelor,ARMT
80,American Express,AXPB
81,Abbott Laboratories,ABTT
82,Santos - Brasil,STBP
83,Randon Part,RAPT
84,Engie,EGIE
85,MMX Mineração,MMXM
86,Lupatech,LUPA
87,Inepar,INEP
88,Ger Paranapanema,GEPA
89,Fras-Le,FRAS
90,Afluente T,AFLT
91,Cedro,CEDO
92,Netflix,NFLX
93,Nike,NIKE
94,McDonald's,MCDC
95,Home Depot,HOME
96,Ford Motors,FDMO
97,Comcast,CMCS
98,Amazon,AMZO
99,Rodobens,RDNI
