nome,cod_bolsa,categoria
Investo ETF Global Agribusiness,FOOD,Bens Industriais
Aeris,AERI,Bens Industriais
Aeris,AERI,Bens Industriais
Intercement,ICBR,Bens Industriais
Dotz,DOTZ,Bens Industriais
Dotz,DOTZ,Bens Industriais
Gol,GOLL,Bens Industriais
VIA S.A,VIIA,Bens Industriais
Armac,ARML,Bens Industriais
Multilaser,MLAS,Bens Industriais
CBA,CBAV,Bens Industriais
3tentos,TTEN,Bens Industriais
BR Partners,BRBI,Bens Industriais
GetNinjas,NINJ,Bens Industriais
Athena Saúde,ATEA,Bens Industriais
Banco Modal,MODL,Bens Industriais
Banco Modal,MODL,Bens Industriais
Banco Modal,MODL,Bens Industriais
Vittia Fertilizantes,VITT,Bens Industriais
Kora Saúde,KRSA,Bens Industriais
Caixa Seguridade,CXSE,Bens Industriais
Rio Alto Energias Renováveis,RIOS,Bens Industriais
Hospital Care Caledonia,HCAR,Bens Industriais
Grupos GPS,GGPS,Bens Industriais
Mater Dei,MATD,Bens Industriais
Allied Tecnologia,ALLD,Bens Industriais
Blau Farmacêutica,BLAU,Bens Industriais
Atma Participações,ATMP,Bens Industriais
Assaí,ASAI,Bens Industriais
Grupo JSL,JSLG,Bens Industriais
CSN Mineração,CMIN,Bens Industriais
Eletromídia,ELMD,Bens Industriais
Orizon,ORVR,Bens Industriais
OceanPact,OPCT,Bens Industriais
Westwing,WEST,Bens Industriais
Cruzeiro Do Sul Educacional,CSED,Bens Industriais
Bemobi,BMOB,Bens Industriais
Jalles Machado,JALL,Bens Industriais
Mobly,MBLY,Bens Industriais
Espaçolaser,ESPA,Bens Industriais
Vamos,VAMO,Bens Industriais
Intelbras SA,INTB,Bens Industriais
Hedge Investiments,CJCT,Bens Industriais
BM Brascam Lajes Corporativas,BMLC,Bens Industriais
Real Estate Capital,RECR,Bens Industriais
FII URCA RENCI,URPR,Bens Industriais
Devant Recebíveis Imobiliários,DEVA,Bens Industriais
Mérito Investimentos,MFAI,Bens Industriais
Neogrid,NGRD,Bens Industriais
Alphaville S.A.,AVLL,Bens Industriais
3R Petroleum,RRRP,Bens Industriais
Enjoei,ENJU,Bens Industriais
Méliuz,CASH,Bens Industriais
Track & Field,TFCO,Bens Industriais
Triple Play,CONX,Bens Industriais
Grupo Mateus,GMAT,Bens Industriais
Sequoia,SEQL,Bens Industriais
Compass,PASS,Bens Industriais
Boa Vista SCPC,BOAS,Bens Industriais
Melnick,MELK,Bens Industriais
Hidrovias do Brasil,HBSA,Bens Industriais
Simpar,SIMH,Bens Industriais
Cury,CURY,Bens Industriais
Plano & Plano,PLPL,Bens Industriais
Petz,PETZ,Bens Industriais
Pague Menos,PGMN,Bens Industriais
Lavvi Incorporadora,LAVV,Bens Industriais
Quero-Quero,LJQQ,Bens Industriais
d1000,DMVF,Bens Industriais
Grupo Soma,SOMA,Bens Industriais
Riva 9,RIVA,Bens Industriais
Ambipar,AMBP,Bens Industriais
Allpark,ALPK,Bens Industriais
Mitre Realty,MTRE,Bens Industriais
Moura Dubeux,MDNE,Bens Industriais
Bardella,BDLL,Bens Industriais
Bardella,BDLL,Bens Industriais
UPS,UPSS,Bens Industriais
Lockheed,LMTB,Bens Industriais
Johnson,JNJB,Bens Industriais
Fedex Corp,FDXB,Bens Industriais
Exxon Mobile,EXXO,Bens Industriais
Caterpillar,CATP,Bens Industriais
Bristolmyers,BMYB,Bens Industriais
Arcelor,ARMT,Bens Industriais
American Express,AXPB,Bens Industriais
Abbott Laboratories,ABTT,Bens Industriais
Santos - Brasil,STBP,Bens Industriais
Randon Part,RAPT,Bens Industriais
Engie,EGIE,Bens Industriais
MMX Mineração,MMXM,Bens Industriais
Lupatech,LUPA,Bens Industriais
Inepar,INEP,Bens Industriais
Ger Paranapanema,GEPA,Bens Industriais
Fras-Le,FRAS,Bens Industriais
Afluente T,AFLT,Bens Industriais
VIA S.A,VIIA,Consumo Cíclico
Cedro,CEDO,Consumo Cíclico
Netflix,NFLX,Consumo Cíclico
Nike,NIKE,Consumo Cíclico
McDonald's,MCDC,Consumo Cíclico
Home Depot,HOME,Consumo Cíclico
Ford Motors,FDMO,Consumo Cíclico
Comcast,CMCS,Consumo Cíclico
Amazon,AMZO,Consumo Cíclico
Rodobens,RDNI,Consumo Cíclico
Saraiva Livr,SLED,Consumo Cíclico
Rossi Resid,RSID,Consumo Cíclico
Mundial,MNDL,Consumo Cíclico
Metal Leve,LEVE,Consumo Cíclico
Karsten,CTKA,Consumo Cíclico
Iochpe-Maxion,MYPK,Consumo Cíclico
Grendene,GRND,Consumo Cíclico
Locamerica,LCAM,Consumo Cíclico
C&A,CEAB,Consumo Cíclico
Le Lis Blanc,LLIS,Consumo Cíclico
Grazziotin,CGRA,Consumo Cíclico
Estrela,ESTR,Consumo Cíclico
Direcional,DIRR,Consumo Cíclico
Coteminas,CTNM,Consumo Cíclico
Anima,ANIM,Consumo Cíclico
Even,EVEN,Consumo Cíclico
Marisa,AMAR,Consumo Cíclico
Movida,MOVI,Consumo Cíclico
JHSF,JHSF,Consumo Cíclico
Helbor,HBOR,Consumo Cíclico
PDG Realty,PDGR,Consumo Cíclico
Arezzo,ARZZ,Consumo Cíclico
Ez Tec,EZTC,Consumo Cíclico
Alpargatas,ALPA,Consumo Cíclico
Localiza,RENT,Consumo Cíclico
MRV Engenharia,MRVE,Consumo Cíclico
Magazine Luiza,MGLU,Consumo Cíclico
Lojas Renner,LREN,Consumo Cíclico
Cogna,COGN,Consumo Cíclico
Whirlpool,WHRL,Consumo Cíclico
Whirpool,WHRL,Consumo Cíclico
Tecnisa,TCSA,Consumo Cíclico
Starbucks,SBUB,Consumo Cíclico
Smiles,SMLS,Consumo Cíclico
Ser Educacional,SEER,Consumo Cíclico
Saraiva livr,SLED,Consumo Cíclico
Hoteis Othon,HOOT,Consumo Cíclico
Gafisa,GFSA,Consumo Cíclico
YDUQS,YDUQ,Consumo Cíclico
Cyrela Realty,CYRE,Consumo Cíclico
CVC,CVCB,Consumo Cíclico
Grupo SBF,SBFG,Consumo Cíclico
Cambuci,CAMB,Consumo Cíclico
Privalia,PRVA,Consumo Não Cíclico
Walmart,WALM,Consumo Não Cíclico
Starbucks,SBUB,Consumo Não Cíclico
Procter Gamble,PGCO,Consumo Não Cíclico
Pepsico Inc,PEPB,Consumo Não Cíclico
Colgate,COLG,Consumo Não Cíclico
Coca-Cola,COCA,Consumo Não Cíclico
Avon,AVON,Consumo Não Cíclico
São Martinho,SMTO,Consumo Não Cíclico
MDiasBranco,MDIA,Consumo Não Cíclico
CAMIL,CAML,Consumo Não Cíclico
Brasilagro,AGRO,Consumo Não Cíclico
Minerva,BEEF,Consumo Não Cíclico
Vivara,VIVA,Consumo Não Cíclico
Carrefour,CRFB,Consumo Não Cíclico
Pão de Açúcar,PCAR,Consumo Não Cíclico
Natura,NTCO,Consumo Não Cíclico
Marfrig,MRFG,Consumo Não Cíclico
JBS,JBSS,Consumo Não Cíclico
Proctor Gamble,PGCO,Consumo Não Cíclico
BRF,BRFS,Consumo Não Cíclico
Banco Inter,INBR,Financeiro
STONE CO,STOC,Financeiro
Nu Holdings,NUBR,Financeiro
Iguatemi S.A.,IGTI,Financeiro
XP Inc,XPBR,Financeiro
TradersClub,TRAD,Financeiro
BRB Banco,BSLI,Financeiro
Battistella,BTTL,Financeiro
Banpara,BPAR,Financeiro
Wells Fargo,WFCO,Financeiro
Visa,VISA,Financeiro
Morgan Stanley,MSBR,Financeiro
Mastercard,MSCD,Financeiro
JPMorgan,JPMC,Financeiro
Honeywell,HONB,Financeiro
GE,GEOO,Financeiro
Goldman Sachs,GSGI,Financeiro
Citigroup,CTGP,Financeiro
Bank America,BOAC,Financeiro
3M,MMMC,Financeiro
Sao Carlos,SCAR,Financeiro
LPS Brasil,LPSB,Financeiro
BMG,BMGB,Financeiro
Gradiente,IGBR,Financeiro
General Shopping,GSHP,Financeiro
Porto Seguro,PSSA,Financeiro
CSU CardSyst,CARD,Financeiro
Brasil Brokers,BBRK,Financeiro
BR Properties,BRPR,Financeiro
Banrisul,BRSR,Financeiro
Santander BR,SANB,Financeiro
Multiplan,MULT,Financeiro
Itaú Unibanco,ITUB,Financeiro
Aliansce Sonae,ALSO,Financeiro
Banco Mercantil de Investimentos,BMIN,Financeiro
Mercantil do Brasil Financeira,MERC,Financeiro
Log,LOGG,Financeiro
Itaúsa,ITSA,Financeiro
IRB Brasil RE,IRBR,Financeiro
Padtec,PDTC,Financeiro
SYN Prop Tech,SYNE,Financeiro
Bradesco,BBDC,Financeiro
brMalls,BRML,Financeiro
Alper,APER,Financeiro
BB Seguridade,BBSE,Financeiro
Banco Pan,BPAN,Financeiro
Banco do Brasil,BBAS,Financeiro
American Express,AXPB,Financeiro
